(BizFavoriteCliDialog.java:107) : codNum : C3314, codType : FM, codName : CHG-DISK-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3313, codType : FM, codName : CHG-MEM-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3315, codType : FM, codName : CHG-S1U-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3316, codType : FM, codName : CHG-RF-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3317, codType : FM, codName : DIS-REBOOT-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3318, codType : FM, codName : CHG-REBOOT-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3319, codType : FM, codName : CHG-CMPKUR-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3320, codType : FM, codName : CHG-FACTORESET-ALM
(BizFavoriteCliDialog.java:107) : codNum : C3321, codType : FM, codName : CHG-MGMTPORT-ALM
(BizFavoriteCliDialog.java:107) : codNum : C4021, codType : PM, codName : CHG-STAT-SERVER
(BizFavoriteCliDialog.java:107) : codNum : C4022, codType : PM, codName : DIS-STAT-SERVER
(BizFavoriteCliDialog.java:107) : codNum : C5001, codType : SM, codName : DIS-CPUMEM-STS
(BizFavoriteCliDialog.java:107) : codNum : C5002, codType : SM, codName : DIS-PROC-STS
(BizFavoriteCliDialog.java:107) : codNum : C5003, codType : SM, codName : DIS-1588-STS
(BizFavoriteCliDialog.java:107) : codNum : C5004, codType : SM, codName : DIS-TX-PWR
(BizFavoriteCliDialog.java:107) : codNum : C5005, codType : SM, codName : DIS-AP-STS
(BizFavoriteCliDialog.java:107) : codNum : C5006, codType : SM, codName : CHG-ADMIN-STS
(BizFavoriteCliDialog.java:107) : codNum : C5007, codType : SM, codName : DIS-RF-STS
(BizFavoriteCliDialog.java:107) : codNum : C5012, codType : SM, codName : CHG-RF-STS
(BizFavoriteCliDialog.java:107) : codNum : C5301, codType : SM, codName : DIS-CERT-STS
